Area	Bairro	Cidade	Endereco	Estado	Latitude	Longitude	Quartos	Suites	Vagas	Tipo	Transacao	Valor
138	Recreio dos Bandeirantes	Rio de Janeiro	Rua Vicente Scofano	RJ	-23.0164552	-43.4629464	3	1	3	Apartamento	Venda	1095000
133	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Potiguara	RJ	-22.9431995	-43.3369111	3	1	2	Apartamento	Venda	650000
46	Pilares	Rio de Janeiro	Rua Professor Carneiro Felipe	RJ	-22.873849	-43.300517	1	0	0	Apartamento	Venda	150000
65	Barra da Tijuca	Rio de Janeiro	Avenida Salvador Allende	RJ	-22.9847874	-43.4127033	2	1	1	Apartamento	Venda	430000
85	Gávea	Rio de Janeiro	Rua Marquês de São Vicente	RJ	-14.235004	-51.92528	2	1	2	Apartamento	Venda	1800000
260	Recreio dos Bandeirantes	Rio de Janeiro	Rua Desembargador Paulo Alonso	RJ	-23.0189271	-43.4775047	3	1	2	Apartamento	Venda	1160000
74	Tijuca	Rio de Janeiro	Rua Amoroso Costa	RJ	-22.9335749	-43.2471087	3	2	1	Apartamento	Venda	595000
200	Copacabana	Rio de Janeiro	Rua Souza Lima	RJ	-22.9823004	-43.192534	4	1	1	Apartamento	Venda	2100000
119	Barra da Tijuca	Rio de Janeiro	Península Fit	RJ	-14.235004	-51.92528	3	2	2	Apartamento	Venda	1130000
88	Flamengo	Rio de Janeiro	Rua Senador Vergueiro	RJ	-22.9364023	-43.175411	2	2	1	Apartamento	Venda	1450000
67	Grajaú	Rio de Janeiro	Rua José do Patrocínio	RJ	-22.918533	-43.262945	2	0	1	Apartamento	Venda	450000
96	Tauá	Rio de Janeiro	Rua Capanema	RJ	-26.9225709	-49.0606445	3	1	1	Apartamento	Venda	390000
138	Barra da Tijuca	Rio de Janeiro	Avenida General Guedes da Fontoura	RJ	-23.013213	-43.303056	3	3	3	Apartamento	Venda	1900000
220	Urca	Rio de Janeiro	Rua Elmano Cardim	RJ	-22.952982	-43.1698189	4	2	2	Apartamento	Venda	2700000
85	Copacabana	Rio de Janeiro	Rua Domingos Ferreira	RJ	-22.9706444	-43.1849587	3	0	0	Apartamento	Venda	950000
73	Barra da Tijuca	Rio de Janeiro	Avenida Lúcio Costa	RJ	-23.0097423	-43.3548121	2	1	1	Apartamento	Venda	1199993
74	Recreio dos Bandeirantes	Rio de Janeiro	Rua Almirante Ary Rongel	RJ	-26.9225709	-49.0606445	2	1	1	Apartamento	Venda	527000
58	Freguesia (Jacarepaguá)	Rio de Janeiro	Rua Araguaia	RJ	-22.938107	-43.3461644	2	0	1	Apartamento	Venda	315000
75	Botafogo	Rio de Janeiro	Praia Botafogo	RJ	-22.9497255	-43.1819538	2	0	1	Apartamento	Venda	790000
110	Tijuca	Rio de Janeiro	Rua Barão de Mesquita	RJ	-22.9218818	-43.2327966	3	0	0	Apartamento	Venda	600000
80	Barra da Tijuca	Rio de Janeiro	Rua Paulo Moura	RJ	-22.9995191	-43.3939698	2	2	1	Apartamento	Venda	574900
48	Méier	Rio de Janeiro	Rua Joaquim Meier	RJ	-22.9055097	-43.2808515	2	0	1	Apartamento	Venda	205000
120	Laranjeiras	Rio de Janeiro	Rua das Laranjeiras	RJ	-22.934498	-43.1875152	3	0	0	Apartamento	Venda	720000
71	Recreio dos Bandeirantes	Rio de Janeiro	Avenida das América	RJ	-23.0191083	-43.5016663	2	1	1	Apartamento	Venda	395900
